BatchSize,HiddenNodes,WeightNonbinding,WeightBinding,LearningRate,Epochs,Momentum,BestCutoff,TruePositives,FalsePositives,TrueNegatives,FalseNegatives,MCC
500,20,0.1,0.1,0.0001,140,0.2,0.23,1410,15734,718,39,0.022670311662741853
500,20,0.1,0.1,0.0001,140,0.3,0.19,1306,14509,1943,143,0.01650178187958181
500,20,0.1,0.1,0.0001,140,0.4,0.27,1050,10774,5678,399,0.04018289311150917
500,20,0.1,0.1,0.0001,140,0.5,0.18,1417,15727,725,32,0.029794374978779296
500,20,0.1,0.1,0.0001,140,0.6,0.16,1380,15022,1430,69,0.03869832180006279
500,20,0.1,0.1,0.0001,140,0.7,0.12,1420,15887,565,29,0.02181930722636638
500,20,0.1,0.1,0.0001,140,0.8,0.13,807,7151,9301,642,0.06711647118075967
500,20,0.1,0.1,0.0001,140,0.9,0.14,590,2661,13791,859,0.17364055576060838
500,20,0.1,0.1,0.0001,200,0.1,0.19,1439,16222,230,10,0.016787536588612303
500,20,0.1,0.1,0.0001,200,0.2,0.19,1442,16244,208,7,0.01955993448130626
500,20,0.1,0.1,0.0001,200,0.3,0.18,1232,13111,3341,217,0.03644077281038987
500,20,0.1,0.1,0.0001,200,0.4,0.15,1449,16412,40,0,0.014044359984155343
500,20,0.1,0.1,0.0001,200,0.5,0.2,551,5801,10651,898,0.015768120861791288
500,20,0.1,0.1,0.0001,200,0.6,0.11,1363,14860,1592,86,0.035012940650868504
500,20,0.1,0.1,0.0001,200,0.7,0.12,1234,13056,3396,215,0.0394497890102299
500,20,0.1,0.1,0.0001,200,0.8,0.12,992,9025,7427,457,0.07474507004115902
500,20,0.1,0.1,0.0001,200,0.9,0.15,587,2585,13867,862,0.17713835664324126
500,20,0.1,0.1,0.0001,260,0.1,0.19,1034,9853,6599,415,0.06408802734078456
500,20,0.1,0.1,0.0001,260,0.2,0.16,1449,16447,5,0,0.004960573157951639
500,20,0.1,0.1,0.0001,260,0.3,0.22,1392,15399,1053,57,0.027897056737101324
500,20,0.1,0.1,0.0001,260,0.4,0.43,1,2,16450,1448,0.011980116984671416
500,20,0.1,0.1,0.0001,260,0.5,0.15,770,6605,9847,679,0.07200130279242244
500,20,0.1,0.1,0.0001,260,0.6,0.14,847,8167,8285,602,0.048074791443596845
500,20,0.1,0.1,0.0001,260,0.7,0.18,252,1082,15370,1197,0.11231920127062323
500,20,0.1,0.1,0.0001,260,0.8,0.14,618,3646,12806,831,0.13118650715283334
500,20,0.1,0.1,0.0001,260,0.9,0.12,705,3419,13033,744,0.18054439095627944
500,20,0.1,0.1,0.0001,320,0.1,0.17,1447,16430,22,2,-0.00032081220089299556
500,20,0.1,0.1,0.0001,320,0.2,0.15,1131,11551,4901,318,0.04707248317803003
500,20,0.1,0.1,0.0001,320,0.3,0.15,1255,13395,3057,194,0.03673808180306827
500,20,0.1,0.1,0.0001,320,0.4,0.11,1385,15629,823,64,0.007359930952072606
500,20,0.1,0.1,0.0001,320,0.5,0.12,1361,15301,1151,88,0.00991802778355296
500,20,0.1,0.1,0.0001,320,0.6,0.16,314,1458,14994,1135,0.11697373668055239
500,20,0.1,0.1,0.0001,320,0.7,0.17,429,1776,14676,1020,0.15612417043933596
500,20,0.1,0.1,0.0001,320,0.8,0.14,617,2803,13649,832,0.177220573148026
500,20,0.1,0.1,0.0001,320,0.9,0.13,663,2858,13594,786,0.19476183214191756
500,20,0.1,0.1,0.0001,380,0.1,0.12,1412,15827,625,37,0.018000438615269326
500,20,0.1,0.1,0.0001,380,0.2,0.13,1175,13033,3419,274,0.012618585439286152
500,20,0.1,0.1,0.0001,380,0.3,0.1,1448,16361,91,1,0.018466089150905786
500,20,0.1,0.1,0.0001,380,0.4,0.14,868,6939,9513,581,0.09749536011640585
500,20,0.1,0.1,0.0001,380,0.5,0.14,683,5156,11296,766,0.09190095962324138
500,20,0.1,0.1,0.0001,380,0.6,0.17,279,2465,13987,1170,0.03234024688216387
500,20,0.1,0.1,0.0001,380,0.7,0.11,928,6806,9646,521,0.12485295169465893
500,20,0.1,0.1,0.0001,380,0.8,0.12,741,4236,12216,708,0.1545761690591119
500,20,0.1,0.1,0.0001,380,0.9,0.13,707,3359,13093,742,0.18471864550134556
500,20,0.1,0.1,5e-05,20,0.1,0.44,1449,16438,14,0,0.00830271454360259
500,20,0.1,0.1,5e-05,20,0.2,0.45,1358,14562,1890,91,0.0452774245231756
500,20,0.1,0.1,5e-05,20,0.3,0.35,1442,16319,133,7,0.010072965216215844
500,20,0.1,0.1,5e-05,20,0.4,0.49,1370,13962,2490,79,0.07532994099961525
500,20,0.1,0.1,5e-05,20,0.5,0.45,1195,10721,5731,254,0.10005213362456333
500,20,0.1,0.1,5e-05,20,0.6,0.58,1003,8367,8085,446,0.10028133052126936
500,20,0.1,0.1,5e-05,20,0.7,0.32,1448,16396,56,1,0.013137825815904142
500,20,0.1,0.1,5e-05,20,0.8,0.24,1449,16444,8,0,0.006275209866764622
500,20,0.1,0.1,5e-05,20,0.9,0.24,1448,16411,41,1,0.010158677815745115
500,20,0.1,0.1,5e-05,80,0.1,0.29,1449,16421,31,0,0.012360709875005085
500,20,0.1,0.1,5e-05,80,0.2,0.35,1192,12105,4347,257,0.054202130134855815
500,20,0.1,0.1,5e-05,80,0.3,0.62,3,20,16432,1446,0.006508066835294804
500,20,0.1,0.1,5e-05,80,0.4,0.4,656,6274,10178,793,0.039966407489097945
500,20,0.1,0.1,5e-05,80,0.5,0.25,1448,16442,10,1,-0.0009058451158343758
500,20,0.1,0.1,5e-05,80,0.6,0.28,1400,15614,838,49,0.02151656430614947
500,20,0.1,0.1,5e-05,80,0.7,0.34,1271,13790,2662,178,0.02908601157741224
500,20,0.1,0.1,5e-05,80,0.8,0.22,1449,16451,1,0,0.0022181878739420424
500,20,0.1,0.1,5e-05,80,0.9,0.13,1449,16435,17,0,0.009149913162621294
500,20,0.1,0.1,5e-05,140,0.1,0.15,1443,16306,146,6,0.014070790378041691
500,20,0.1,0.1,5e-05,140,0.2,0.27,1447,16429,23,2,0.0001295960148348482
500,20,0.1,0.1,5e-05,140,0.3,0.3,1334,14300,2152,115,0.04218723268072544
500,20,0.1,0.1,5e-05,140,0.4,0.25,1344,14993,1459,105,0.01566565654107039
500,20,0.1,0.1,5e-05,140,0.5,0.2,1284,13572,2880,165,0.04441505528283595
500,20,0.1,0.1,5e-05,140,0.6,0.24,800,7501,8951,649,0.05260094935170276
500,20,0.1,0.1,5e-05,140,0.7,0.19,1445,16364,88,4,0.009873158170366533
500,20,0.1,0.1,5e-05,140,0.8,0.18,1422,16043,409,27,0.011017196250632745
500,20,0.1,0.1,5e-05,140,0.9,0.18,157,1109,15343,1292,0.04356003834130523
500,20,0.1,0.1,5e-05,200,0.1,0.28,1449,16449,3,0,0.003842228754048004
500,20,0.1,0.1,5e-05,200,0.2,0.58,1,6,16446,1448,0.004489557060050735
500,20,0.1,0.1,5e-05,200,0.3,0.21,1415,15697,755,34,0.029800150499121724
500,20,0.1,0.1,5e-05,200,0.4,0.19,1436,16242,210,13,0.009326595548149016
